MERCH_ID,MERCH_ID_SHT,MERCH_NAME,TRADE_NAME,PRNT_MERCH_ID,VAT_NO,COUNTRY,STATE,CITY,MCC_CODE,MCC_DESC,LEGAL,CONT_NAME,MERCH_LANG,MERCH_REG,CR_DL_IND,STATUS,ACT_DATE,REG_CODE,ACTIVE_DATE,SALES_AGENT_CODE,CLIENT_COUNTRY,MERCHANT_GRADE,VISA_CBDIP_SMI_CODE,MERCHANT_LEVEL,FX_PROTECTED_IND,SERVICE_CONTRACT_ID,SERVICE_CONTRACT_STATUS,SERVICE_CONTRACT_DATE,RCC_CODE,RCC_DESC,BILLBACK_IND_CODE,BILLBACK_IND_DESC,PF_ID,ISO_ID,COUNTY_CODE,COUNTY_DESC,MUNICIPALITY_CODE,MUNICIPALITY_DESC,MUNICIPALITY_TAX_IND,INCOME_TAX_CODE,INCOME_TAX_DESC,VAT_TAX_CODE,VAT_TAX_DESC,MC_IP_QUALIFICATION,MC_IP_VALUE,VISA_PF_ID,SECONDARY_TAX_ID,SALES_LEAD,SIGNED_SALES_VOL,SIGNED_AVRG_TICKET_VALUE,VISA_IP_QUALIFICATION,VISA_IP_VALUE,MERCHANT_SIZE,MERCH_ORIG_COUNTRY
"123456789123","12345678","Teste_Merchant_1","Teste_Merchant_1","","","Panama","PAN","TEST Banist C","0763","Agricultural coopera","Limited","Contact_Name_Test_Merchant_1","English","By Country",N,"Active",20221104,"?Wy}tiun~}bz1cg",,"","591","EO","","M","No","Service Contract 1","Active",20221104,"798","Other Miscellaneous","003","Aut Billback All","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83000000","83000000","Group client","Group client","","8TXJs}1]","Panama","PA","Panama","0742","Veterinary services","Limited","Mac win","English","n/a",N,"Active",20221027,"8TXJs}1]",20221028,"","591","EO","","G","No","Service Contract 1","Active",20221027,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83040001","83040001","Sub Group 1 Economic","Sub Group 1 Economic","83000000","1:`/~;wF)","Panama","PA","Panama","0742","Veterinary services","Limited","Mac win1","English","n/a",N,"Active",20221027,"1:`/~;wF)",20221028,"","591","EO","","S","No","Service Contract 1","Active",20221027,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83040002","83040002","Tova S.A","Tova S.A","83000000","2{8{#KMXF.Bmm[k","Panama","PA","Panamá","0742","Veterinary services","Limited","Juan Perez","Spanish","n/a",N,"Active",20221212,"qLFi^mv5c_.K2|j",,"","591","EO","","S","No","Service Contract 1","Active",20221212,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83040005","83040005","Grupo Melo","Grupo Melo S.A","83000000","","Panama","PA","Panamá","9999","All","Limited","MarÃ­a Arango","Spanish","n/a",N,"Active",20221212,"|4%K+Z{m[7PvRev",20221215,"","591","EO","","S","No","Service Contract 1","Active",20221212,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83040006","83040006","Comercios sin Jerarquía","ComSinJera S.A.","83000000","","Panama","PA","Panamá","0742","Veterinary services","Limited","JosÃ© SantamarÃ­a","Spanish","n/a",N,"Active",20221212,"qLFi^mv5c_.K2|j",20221215,"","591","EO","","S","No","Service Contract 1","Active",20221212,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83040022","83040022","Sub group test","Sub group test","83000000","N]x6?0Nu","Panama","PA","Panama","5999","Miscellaneous & spec","Limited","Mr. Mike","English","n/a",N,"Active",20221206,"N]x6?0Nu",,"","591","EO","","S","No","Service Contract 1","Active",20221206,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83040044","83040044","Retail","Retail","83000000","","Panama","","Panama","0742","Veterinary services","Associations","Sr Pedro","Spanish","n/a",N,"Active",20221206,"{sjP@c{dP#}[rus",,"","591","EO","","S","No","Service Contract 1","Active",20221206,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83040080","83040080","Retail","economico fer","83000000","","Panama","pan","panama","5999","Miscellaneous & spec","Limited","Sr Pedro","Spanish","n/a",N,"Active",20221207,"|4%K+Z{m[7PvRev",,"","591","EO","","S","No","Service Contract 1","Active",20221207,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83100001","83100001","Sub Group 2  Corp","Sub Group 2  Corp","83000000","w:6?B}df","Panama","PA","Panama","0742","Veterinary services","Limited","Mac win2","English","n/a",N,"Active",20221027,"w:6?B}df",20221028,"","591","EO","","S","No","Service Contract 1","Active",20221027,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83100002","83100002","STEVENS","TOVA S.A","83040002","2{8{#KMXF.Bmm[k","Panama","PA","Panamá","0742","Veterinary services","Limited","Juan Perez","Spanish","n/a",N,"Active",20221212,"qLFi^mv5c_.K2|j",,"","591","EO","","S","No","Service Contract 1","Active",20221212,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83100005","83100005","Empresas Melo","EMPRESAS MELO, S.A.","83040005","","Panama","PA","Panamá","9999","All","Limited","MarÃ­a Arango","Spanish","n/a",N,"Active",20221212,"M7+7M;/^m6M+?=b",20221215,"","591","EO","","S","No","Service Contract 1","Active",20221212,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83100080","83100080","Sub group test2","Sub group test2","83040022","N]x6?0Nu","Panama","PA","Panama","0742","Veterinary services","Limited","Mr. Mike","English","n/a",N,"Active",20221206,"N]x6?0Nu",,"","591","EO","","S","No","Service Contract 1","Active",20221206,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000000","N/A","","","","","","","","000","","",""
"83400001","83400001","Member Merchant4","Member Merchant4","83040001","R5ZS)O{+)","Panama","PAA","Panama66","0742","Veterinary services","Limited","Mac win3","English","n/a",N,"Active",20211027,"R5ZS)O{+)",,"","591","EO","","M","No","Service Contract 1","Active",20230110,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83400002","83400002","Interchange plus1","Interchange plus1","83100001","cgq[75dq","Panama","PA","Panama1","9311","Tax payments","Limited","Mac win4","English","n/a",N,"Active",20211027,"cgq[75dq",20221028,"","591","EO","","M","No","Service Contract 1","Active",20230105,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83400003","83400003","Pricing Plus","Pricing Plus","83040001","M-4of\z","Panama","PA","Panama","9311","Tax payments","Limited","Mac win","English","n/a",N,"Active",20211027,"M-4of\z",20221028,"","591","EO","","M","No","Service Contract 1","Active",20221027,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83400004","83400004","Refund Pricing","Refund Pricing","83040001","-Pwv#v0kQ)","Panama","PA","Panama","9311","Tax payments","Limited","Mac win3","English","n/a",N,"Active",20221027,"-Pwv#v0kQ)",20221028,"","591","EO","","M","No","Service Contract 1","Active",20221027,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000001","VAT 1% Pricing Plus Fees","","","","","","","","000","","",""
"83400005","83400005","TGG Tax Acceptance ","TGG Tax Acceptance ","83040001","U;@:mRq@{)","Panama","PA","Panama","0742","Veterinary services","Limited","DEM SDP OPY","English","n/a",N,"Active",20221031,"mVCMv+=d",20221101,"","591","EO","","M","No","Service Contract 1","Active",20221031,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83400006","83400006","RZB Government Services","RZB Government Service","83040001","tl_n#h#:","Panama","PA","Panama","0742","Veterinary services","Limited","DEM SDP OPY","English","n/a",N,"Active",20221031,"FlTCFs-v",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221031,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83400007","83400007","RZC Government Services","RZC Government Service","83040001","sGHROkWdt","Panama","PA","Panama","0742","Veterinary services","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221109,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400008","83400008","Pricing Plus Ma","Pricing Plus Ma","83040001","i.9WOAApE9^","Panama","PA","Panama","5999","Miscellaneous & spec","Limited","Mac win","English","n/a",N,"Active",20221101,"8TXJs}1]",20221101,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900003","VAT 3% Interchange Plus Fee","","","","","","","","000","","",""
"83400009","83400009","RZE-Emerging Markets 1","RZE-Emerging Markets 1","83040001","X?IkS@0\","Panama","PA","Panama","4131","Bus lines,incl.chart","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400010","83400010","Refund Pricing","Refund Pricing","83040001","KJ.e61fs~ve","Panama","PA","Panama","5999","Miscellaneous & spec","Limited","Mac win","English","n/a",N,"Active",20221101,"8TXJs}1]",20221101,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900097","VAT 97% Interchange Plus Fee","","","","","","","","000","","",""
"83400011","83400011","Interchange Plus","Interchange Plus","83040001","W1[]9F9%(i;h","Panama","PA","Panama","0742","Veterinary services","Limited","Mac win","English","n/a",N,"Active",20221101,"8TXJs}1]",20221101,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000005","VAT 5% Pricing Plus Fees","","","","","","","","000","","",""
"83400012","83400012","RZG-Emerging Markets 1","RZG-Emerging Markets 1","83040001","sq*4^zrp","Panama","PA","Panama","4111","Local,Suburban Commu","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400013","83400013","RZI-Emerging Markets 2","RZI-Emerging Markets 2","83040001","/IVAFb@j","Panama","PA","Panama","4900","Utilities-electric,g","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400014","83400014","RZK - Standard","RZK - Standard","83040001","dUo%Z*Ac","Panama","PA","Panama","7523","Automobile parking l","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400016","83400016","RZF-Emerging Markets 1","RZF-Emerging Markets 1","83040001",".*CO*A/\","Panama","PA","Panama","7523","Automobile parking l","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400017","83400017","RZH-Emerging Markets 2","RZH-Emerging Markets 2","83040001","]%G`~lKp","Panama","PA","Panama","7523","Automobile parking l","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400018","83400018","RZJ-Emerging Markets 2","RZJ-Emerging Markets 2","83040001","\}=vsMYw","Panama","PA","Panama","7523","Automobile parking l","Limited","DEM SDP OPY","English","n/a",N,"Active",20221101,"w:6?B}df",20221110,"","591","EO","","M","No","Service Contract 1","Active",20221101,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400030","83400030","Sub Group 2  Corp","Sub Group 2  Corp","83040001","mVCMv+=d","Panama","PA","Panama","0742","Veterinary services","Limited","Mr.Sam King","English","n/a",N,"Active",20230111,"w:6?B}df",,"","591","EO","","M","No","Service Contract 1","Active",20230111,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","900100","VAT 100% Interchange Plus Fee","","","","","","","","000","","",""
"83400031","83400031","Test21","Test21","83040001","R$A\I~hb","Panama","PA","Panama","9311","Tax payments","Limited","Mac win4","English","n/a",N,"Active",20221107,"R$A\I~hb",20221111,"","591","EO","","M","No","Service Contract 1","Active",20221107,"798","Other Miscellaneous","000","N/A","","","","","","","No","","","000002","VAT 2% Pricing Plus Fees","","","","","","","","000","","",""
